user_id,city,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
b6efc188-5a25-4878-88ad-fb58057248d2,newberg,24,18,2,6025
b6f88c9c-74af-4c53-9bf4-01450d3f7dc3,newberg,9,2,11,1778
b97ede28-2904-4438-984c-69ce107166c0,newberg,98,46,207,38756
ba1bdc22-2a12-49b1-ba24-cfeb8a4081f9,newberg,41,14,2,2472
bb4af167-9be7-414d-a1be-b712c6a1a7a0,newberg,25,8,43,3065
bb753694-ed5b-4c88-b26d-0e58c7b31119,newberg,16,10,0,6210
bf66138c-6ecf-4bea-8b0a-7485b5b171e9,newberg,1423,456,1885,47690
c020bbe3-b92b-4119-ba27-8b99c55782ad,newberg,21,11,6,4277
d363619a-53e1-4ef4-a541-bb0278cae7c3,newberg,2597,1300,9538,169155
da791c10-a7d0-4653-9653-0abc1ef1db57,newberg,59,10,306,9350
e9273525-f0ad-442b-ab53-ec3fed09cdff,newberg,983,369,1192,32747
ecbeceac-f169-4ce4-8766-361337a70573,newberg,16,3,19,1376
f13fe08b-47c4-49c2-b128-21c6c04948da,newberg,34,21,379,10296
f3115ae6-221d-4ef1-b73f-0a01e4b41e36,newberg,63,13,379,5504
f51f44e3-5bae-4413-b3c5-6f28e39669bb,newberg,87,8,46,1955
fc36440f-38b7-4060-892a-65fedd77f651,newberg,459,110,487,20839
058ca740-44c0-42ca-b90a-1b731a81a8bc,columbus,111,31,138,4467
096c0650-840b-4992-9bc1-12577fb68c8b,columbus,247,61,135,25902
0998cbf4-0fae-4acb-9621-c2a3f534403b,columbus,50,19,50,4037
0a0340d7-bd95-4d95-9abd-9b5d896be2be,columbus,96,33,226,3988
0a60b1ca-59a2-4a35-99f5-651a29e479f3,columbus,296,69,266,33209
0d450318-cec7-403e-b5d1-05cefaeaecd8,columbus,606,164,17,47777
11e3b478-1cb7-4f2a-b801-06247109286c,columbus,462,114,851,50381
139cbb5f-a6d6-4d1b-bdb5-3829cd5ddd9a,columbus,19,9,74,2673
151b2aca-6de5-483f-af90-0de10449060a,columbus,268,82,482,34013
15323f59-7373-4b82-843c-e80bab81a46b,columbus,72,17,89,7661
162b0d5c-45e2-4132-820e-405d53af9c6a,columbus,13,4,0,2867
206babc6-f877-450f-8eb7-d8bee3146702,columbus,17,6,0,5598
240d87e8-927b-4d26-ad67-3c1408e2e705,columbus,44,14,18,8746
24b9c945-08fe-4392-84a3-1066a5b633bc,columbus,38,17,22,2458
2928f5ec-4a8d-42d2-84f9-252771e359da,columbus,21,9,5,6011
29576e78-7d11-46a2-902e-51b7a0faeefb,columbus,257,117,275,23556
2d0fda37-89ce-45b5-98e2-e4a4ac6a0320,columbus,922,78,71,55797
2d2a4eba-68a4-46d7-a583-6a6b7e44e897,columbus,61,12,4,5879
2dea598b-f778-4c2e-9527-6aadb01dae01,columbus,349,131,133,43192
33b88894-45e4-46ea-b15a-89c6f046a605,columbus,26,9,0,1895
33fa5c91-b1a3-4c11-985d-d336a2612394,columbus,29,11,2,2267
358083c0-7a44-499d-927c-a643f15fd017,columbus,8,6,184,2477
397eb14e-fa12-4451-bafe-df3daf2b54ca,columbus,190,43,376,12853
3a384884-1f7e-4d76-879a-eff0afa0beaf,columbus,198,11,2,10262
3b67ce16-171d-44bc-8a0f-35b8fcd84296,columbus,11,8,93,2223
3c38ea4c-4b67-42be-84a3-327c277ac200,columbus,21,14,1,5942
3e89bdad-1bf0-45db-81fb-05c90ab2c415,columbus,35,25,13,6277
3f025fb8-8f0f-467f-aeb2-eb842c999720,columbus,88,19,2,4308
4075edf6-98bd-4938-a072-d09b059645a5,columbus,24,8,138,1413
414ea909-3b6a-4bcc-b078-f90f311b6d7d,columbus,11,4,0,2191
41ff3013-b756-4bc8-9c74-dcfa74e64659,columbus,47,27,2,9575
44045ecf-fbc9-4029-ace6-3bb81de77ffb,columbus,156,31,74,10479
44e1889b-6087-4570-b51d-9561c9607978,columbus,135,41,213,14396
46118cf8-09ad-4d76-a0a2-73cf697c460c,columbus,1786,376,315,69725
47ad265f-32ed-4f13-917e-eae097d5163b,columbus,16,13,156,9846
490a568a-16ef-4b83-ba96-9ab728aa8f4c,columbus,801,475,1279,35492
49360e12-bbc3-426a-ac19-d33ae5a3eb1f,columbus,56,20,211,2632
4d5d1a9f-e33b-415f-ab68-bffd25216333,columbus,80,31,82,4089
4e8e59ae-b749-4a27-9283-05d9e0d49434,columbus,87,48,356,10949
4f9a7612-2dac-439a-8ea4-46eec3a713db,columbus,61,20,130,12179
5150f238-8f9f-46ff-bf30-61651e05d8ae,columbus,220,56,47,25386
53f51adc-62fa-49a3-aee7-80ccaae9e7fe,columbus,122,40,1083,30510
56d5a77f-a7fb-412f-a476-d0208dd192ff,columbus,60,25,7,9221
5abf54e3-9780-42ac-80b9-68b094878cb0,columbus,55,17,25,9443
5d006efa-ee1c-46dd-9606-ad59c6573fad,columbus,2431,659,935,123925
62b3a333-7cef-411b-9b50-d51daf1cfcdd,columbus,12,3,0,4807
63f703d6-88bd-47ea-8913-5aecc0268458,columbus,74,44,705,11486
64bb524f-44be-4cff-8c96-3b213dec90be,columbus,253,61,287,5107
6839fe6f-d004-4c0a-81cc-bbf894915516,columbus,20,11,41,4496
687410b7-a59c-40e5-b43e-a7e075d7725b,columbus,34,8,157,3759
69aac628-a9d7-4f61-9a76-6ce500528988,columbus,42,20,0,4276
6afbac7c-ea50-447f-90a5-5e6aa27dc36f,columbus,50,11,35,7947
6bbb08e6-ee17-4c81-af92-4e5340619912,columbus,86,27,4,12340
6bd00064-d2d5-4074-b725-a6187ba2d060,columbus,18,4,4,5042
6cd6e7e0-4404-487a-947e-d27509bd073f,columbus,109,37,99,21490
6cdf9d2c-61f7-4023-9d4f-5a558a5fe932,columbus,1214,604,2669,91566
70cd239b-0c28-49a1-b70a-936f07cbf2ba,columbus,53,16,22,8310
72016aaa-ec06-4f8c-9cf8-af8e68d07e6b,columbus,3,2,0,1516
7607fc72-8cc1-47f3-b72c-703d5b5aeb5b,columbus,756,203,56,29660
76ca7c57-1779-4c7c-85e9-e27e6c30a42d,columbus,43,28,210,9228
