user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,30787,3993,4946,2987703
4f5e3226-628f-49b2-870a-ddb51099a010,56,15,0,4785
4f946b50-b160-45e0-b0ca-77f434b99c7c,20,8,0,4179
5139f5dc-a6bd-4206-a753-31e7db4bd353,87,27,196,7286
5143c254-2cbe-49c4-933a-9dc2263c06b8,62,20,173,7689
51487d2c-20b5-4fd4-9eb0-b26303561ac7,275,25,10,5419
522f402b-927b-42f6-acce-b6919d48e30d,81,24,159,18564
5262e8f5-3037-4a0c-986e-1854367e76cf,128,45,11,9885
538c6843-e446-4fc1-aeda-9410790c6000,124,76,267,25684
54c77d0f-fc8f-4497-84d3-5e336047b17e,705,528,1545,94471
56fe90ca-ff6a-4008-ba8e-0e2dcd8b227c,72,15,102,12215
571befac-9a9c-4e61-8218-96f8e2f27a50,69,15,15,5137
57b99b19-ff2f-428b-91a1-4d214e187ce3,143,24,35,2894
588b8e51-3029-41c4-b38b-f449feb578f5,68,18,627,8756
59bf3fe6-615b-468b-bf0d-1267001dc155,73,36,239,9881
5ab3df0b-6cee-47f4-9713-3c3edd929d40,21,5,0,2939
5ada2bbd-7bf9-41d3-a318-5a7d6b1e70ed,66,19,73,3977
5b214fe5-91fb-4140-a799-7c71ebef4a32,1517,466,518,60482
5cdb41ac-8945-43aa-b0e9-1c05fdd8bc47,16,8,109,8175
5daee480-d6f8-4e9e-a2c2-67638b97bcca,23,8,6,2086
5dcf3e59-344c-43bb-9bb7-540ecbc54046,14,11,16,5804
5f07d252-3939-4e82-9b77-d5ae0f30ddc2,82,30,194,14643
60762778-61fd-4e93-92aa-939ef0c8ffb2,18,9,0,3556
60dd2a70-16cc-4023-88eb-f95791ba08a5,49,20,25,3840
60f51dd5-7eb5-4959-a307-10eb5d3b8fc7,67,20,15,14154
6276153f-8db2-4b44-b90b-d7c86a1edd45,835,249,206,68694
62fae240-a83b-4d26-9446-f8d8bc5f6bdf,11,3,0,2691
6321e091-a4a5-4e2c-9bfd-1a17075b3df7,18,4,2,2517
641949ed-63db-419e-8c85-31b615510b9d,44,31,10,464
66f6d727-bb32-49f0-8017-d55aa575310b,24,9,63,1652
676f878c-26e3-4d2f-8e7b-9216ca8cc0b5,17,4,0,3511
67e3ceac-ce79-4203-be4a-ef3ff526f604,132,47,203,17030
6809bd6e-605f-4861-bc49-32e52c88c675,1307,379,17,63907
68884e25-b0a4-4e6f-a624-fb807656c1c5,74,16,179,5761
68a7c347-7bba-4059-acb8-a7e7913d75b9,17,8,2,3614
68cc8f94-f364-42bf-a91e-c4f078d35dfd,65,37,66,12063
693c2127-08f5-43c6-b99b-df5502869102,79,27,287,12650
6af12f89-bb50-4053-9a5a-184cdd17aea6,58,16,31,2007
6b7e23a3-6f55-455b-a201-a47b9496ff67,65,34,62,13608
6bc4b2b6-ee8b-4201-b9c3-a42891c62b60,20,8,18,1871
6d30a59f-20f8-48ed-83ed-fab476fa2398,66,22,64,11277
6da88fba-d04d-435a-b86b-b68c57ef68c2,16,5,0,6769
6ea03f92-e082-4946-8a11-13e48b56aede,154,17,1,9206
6ebbc1d4-ddb9-4232-a41d-0bbf74dc44e1,34,12,0,5653
6ec7e799-b9f0-4c05-bc10-166b55caa834,113,25,50,5804
6eec69c1-7317-4455-b031-11412de34b46,12,4,0,3342
6f34ace7-1c6e-4640-b092-2d2aed50b02b,5,2,0,1157
6fb71d1a-3c2b-4fba-a0d5-3292cf686a36,2,2,9,878
700f007e-a346-450b-bab6-fcf60c82d856,20,11,0,7083
70167cf3-7503-4e6d-b223-b85cb0973f6c,50,8,165,3379
70e2d08e-64ce-40ee-82af-3dd18e88daad,12,5,0,276
712ffe38-3300-49da-bc0e-402e5e5197fb,52,24,69,16274
715af4d8-0f17-47c4-99c6-7ef92d94803a,7673,2703,24859,250393
717a56a8-a7f8-4a98-9b30-c2eab3ae85ff,2094,253,4200,119758
71ba711d-de85-4ac5-9d87-60dfedb5ee63,18,8,0,1808
72f670e4-cde9-4b1e-ad74-f8ab5726cec5,84,23,273,10560
73b34041-60de-43fe-a843-6d3e4df4a0ef,27,5,0,514
73c5ac6a-1670-4f94-a619-7350c7ad49b6,64,18,126,8017
74a9aced-27dd-4967-b1b5-f1b7502adca0,186,56,562,45657
757d90ed-40e0-4548-b1fa-a0cfb1a68ba4,23,9,0,4917
76679fed-88b1-4378-b3b2-c8d69c628c27,933,171,9,28283
774ad26a-c773-4173-a376-661d1c116134,32,22,39,3653
776538a3-f510-4e84-b270-7b1a1f472483,59,13,22,7931
776c932c-6c9e-4332-ae13-9d4b10d39989,22,5,53,4517
77b3e2eb-7bd8-4e32-a008-7888a392b901,31,10,53,3790
782b93ec-a645-444c-9098-cf63e83abdf5,13,4,0,1955
78344f38-c58e-45e0-93d5-505bf5a813d6,80,18,197,4250
78688e98-0d11-4658-9ca4-347be5d3686d,23,8,0,2939
7918b889-bf48-4586-ae8a-34ff2415f57c,15,4,0,929
797ecce6-da6a-4be9-873a-0e4c7a7b9cf7,31,9,31,7812
7b1596af-14d4-4f2b-9e4e-71b1884db836,3395,1149,4727,118670
7bc8e0d3-e465-420d-9983-82252eb1e029,40,23,103,19014
7be92b4c-1107-442a-b2ca-3b31efd62631,18,3,12,2011
7c8d6857-9481-4bed-83f6-0b0b0377fb6f,80,14,14,2705
7cb17df5-0fbe-4c2f-8665-31f7f2db1e08,72,27,15,16899
7eb1151b-d737-40a6-a9fb-72834b6e27c7,110,35,101,2689
8044d277-edfd-4108-9146-6594fb503dfc,12,4,0,1672
80814c75-1114-4907-88ed-a90f768b9a9c,104,53,616,8013
809e6445-852b-4a0f-87e7-c46d8b06443d,41,11,275,5893
80b9ab29-c7fc-4beb-b039-170b124997b4,83,33,127,5414
80e67d88-fd68-4ed5-83df-5f8ccd6f1602,20,4,0,6787
81ef8000-218e-4a4d-bd4c-fc2eac1990f3,632,130,2161,43525
825150e9-5c2d-4392-aa92-0d727c24c45e,21,8,0,2677
83a42e70-e722-4245-93d6-28ffa1e30555,105,14,16,3787
845e3e48-ea54-4c41-822d-8a40083014aa,16,11,0,2545
8586d01a-353c-4388-868c-83e90aacef9d,50,24,0,2634
86d26e9d-010f-4802-88ba-680ae0a8e20d,2299,842,3143,94923
872dcf02-f078-4151-8a2f-faa2060dd5cb,67,11,24,22462
87833d72-b357-4e2c-81cd-23f58ff04c59,669,312,2346,59160
8789dea2-9e46-49a6-9026-501052357a97,9,3,62,1506
87f24f89-61a6-486a-8b1a-6fd092ad7240,80,16,77,8684
885d1abd-5c6a-4ac6-b146-eff7ebdfd42f,20,6,0,8226
88c31570-8f92-45ba-acf6-2d7249a4db38,31,8,0,3869
88e2440e-91b8-4f6b-86a0-db79172dfa65,63,13,3,3372
88fa134c-2aa7-4815-a7f3-a631fe9400a0,58,7,88,10084
899c1f0d-279e-4c34-8b77-628aec00ae68,56,16,284,10233
8a471c0f-fa81-4c57-9b65-bd04a92c6a5e,637,114,37,7976
8a84d5e0-2193-4fb3-877e-0a7cc38fe47c,19,3,175,1693
8a9edb49-44c9-43e1-b7b9-a91a4d8b522c,183,19,50,2497
8ae9f0fc-e33f-435a-bfae-3d43316ddc69,93,14,4,3328
8af51a6e-05cf-4f43-8456-8312decbd1c8,10,4,4,1699
8e746ac0-b078-4ea0-a688-eafeac249783,54,24,203,4385
8ec1b83e-d2f3-46a1-85a9-8ee42d52e420,18,7,0,1241
8fe32410-fafd-4557-91bd-c4bdb7180be0,21,7,0,1822
9005a64a-fa73-4c84-b08b-b61eece1b9b7,2078,491,8348,171812
9047ac35-318e-4810-a601-bc658e63b3ab,67,16,23,5229
90ae69f2-fb94-4c39-8cb0-59f522f8fd93,138,31,41,3053
91376904-0b1e-4a89-a83b-fa5d9c52f20f,194,82,60,8262
913d5960-9db7-49b2-9875-95e009050754,704,195,607,30141
92d6ccb1-e5dc-4144-ad2f-8e6ef808e521,99,51,56,2924
939b6faa-0b57-4160-bcc2-d11fd2b69d9f,825,323,1642,44345
93db89fa-4f5c-41bc-9d8f-751f146002b5,141,15,54,13269
9513a46a-38a7-4496-8fd4-5de490ae725d,16,8,0,5275
95b778e8-26c2-424d-b879-07c558bb9b20,689,133,189,24881
95f9e0ca-a9ec-4eb5-8369-324ec24eea30,30,9,28,3251
96ec6133-235b-4489-9f67-1681d153c4be,165,14,29,7891
96f58470-9b4f-404e-a91a-39a6b826caf2,14,7,79,4610
98879693-84d1-4cbd-a8ee-8e301a310e66,58,22,74,4614
98d51e47-4750-48fa-9c9a-253dbb55ff16,17,6,52,4034
99b9e3b5-a74f-4be5-99fc-fc69d2856449,40,24,1,3521
9a04ca0b-b649-43e6-aaf6-fd567a89d92e,22,7,2,4396
9a75f7b6-fed0-44d4-8474-79b983d5f1e4,20,14,0,5399
9ab48ccd-8a95-4a4b-a0dc-90e1e7d709b6,21,3,7,2334
9ac5c4d5-66e5-4067-888e-de80d632ce0c,105,23,189,6353
9b595ba6-529b-4d37-93d7-dd189184e15a,247,108,39,28911
9ba46eee-1147-478f-86f6-1707acf3441e,5,2,0,4422
9c7b2610-0194-4569-9d35-d266d2772d22,37,6,3,3896
9cc2331e-442c-4b25-9350-91f58c63ad87,20,6,0,3900
9cf59c66-cc1e-4ee9-bc40-489a7c7d9201,258,44,157,8167
9e850653-6ba9-4f54-bd4b-6e33693f3834,69,22,11,6906
9ed0fd84-745f-44be-92aa-d2d6f10365e7,38,23,930,2441
9f1889cd-dfbb-4be1-bc75-cb356b2f7abc,71,31,454,8206
9f5744cb-5b96-4a5d-b49f-7c6d0ee3bb89,22,6,2,8957
9f5c49e0-de13-453a-bc1b-45dc0452f13b,18,5,38,2349
