user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
5bba6242-1cd3-4fe6-aa52-377cdfa348f8,62,33,67,6948
5d5e67fb-a93a-4ba3-841f-3d30b975c680,21,14,2,6643
5ec4e23e-74c8-4031-bd81-cb9cbb106280,1124,477,161,102894
5f36e7b0-240b-4687-ae1b-41d0971d878f,23,7,1,3518
5fc02d33-d4e1-42bd-8a5e-2b1525bf1c74,1208,442,51,36366
601c56dd-e5b6-4abd-8d42-d33dcf2bc1c5,267,59,92,18607
615dd413-446d-4632-87b7-400315a5388b,156,32,1,6688
623c11e4-078e-4d12-abdf-cac2a438c565,1129,614,54,181763
62876bfe-2d60-46e7-a922-65544615b9c6,278,167,23,22142
649cfd13-a68b-4dc5-a6f2-ca56781ec35f,17,11,155,4267
65d246de-4fc9-4151-a830-d74fe6a860c8,39,25,388,5929
666b4247-c08c-4a3f-967f-ec046f4999b2,25,14,4,8863
66e44d75-3d14-476d-847d-a7ae00c0df88,193,28,7,11292
68002713-b70a-4f51-a5e2-3ea55eeb814a,29,17,176,4564
693c383e-adb3-4915-9b9a-225e8bd98dce,23,7,1,4387
6a2cb104-b0a3-4505-b801-bcd03ae16407,269,136,29,21990
6ad17b2f-368c-4c76-b6c6-dc141591c4b5,10,7,0,2313
6af80e7a-c21f-449f-a4c7-ded698667837,607,170,16,44486
6cdb629d-0efc-421b-869c-476ba87ce3d3,31,17,3,6262
6f4ca3b8-2334-49c8-9e94-138084201633,241,190,116,19262
6f896aec-60e3-4738-a185-c3763938450a,431,214,195,33323
6fd1824a-f526-42a6-8514-76544bbee70b,57,10,28,3738
71400cba-5f5d-46aa-ade6-aecb7dff6f9f,141,38,107,14917
715314c8-4489-4a01-ba00-3a2af1ba6676,55,28,172,4304
72050096-fb25-4042-8529-baa7a69ec00e,257,97,3,13442
720f85c6-644a-414d-8115-e51dd2871f25,675,185,8,48390
736643bb-d3db-4c5c-a802-4d016cd98af6,116,8,202,7121
73dc9569-7317-4c0b-9f8a-b22c31ee6a53,70,59,203,13847
7650b162-7eca-4832-86c7-22dd1b1a87e9,34,18,45,5933
76c1e142-4885-453c-bea9-aaa970e28555,59,12,98,6894
78669ebe-2792-4fd9-bef1-93ce1e370299,105,56,62,4834
78bc63f8-ab3f-4518-bc04-927280a0c9dc,405,218,1076,28060
790347be-d830-4405-80bd-976a41b2c042,1116,499,2110,87867
793f2d13-f628-4cd1-a363-c14c3b0607e5,16,6,7,1168
79594c6e-98a5-44d5-bccc-612db348c003,201,178,94,13867
7ba2e52c-e03c-4fe3-89c9-0e2afabdc83b,57,12,75,4455
7cedfafb-b854-4f21-9d46-7c612420baee,79,31,256,12173
7f2eaa11-2092-4b21-b690-339473f4a968,18,11,0,4820
7fb1eb3f-b148-4a84-aaf4-9f8dec9fea30,2576,873,57,63692
81ba781f-5928-423c-b727-891505f1e228,21,10,0,7323
857419dc-7aca-40fc-b6cc-fbfbac69162c,201,106,1,10676
863d334c-1941-4193-a6ea-afc78a3c5389,805,88,72,31931
87328926-6f6c-4684-a7b9-51724a22d1ea,14,9,0,1835
896b4fe2-a2fc-4559-aff3-8410c9df604d,17,9,54,971
8a925362-031d-4018-b11f-1abcf4ba2ca3,18,7,6,1762
8bfe4117-ec5e-4cbb-904a-65e02fc92054,1288,387,164,137734
8da30c90-9777-44cd-8fb0-557a4e084f04,1502,369,9,93347
8e6b21da-2f65-426c-ac30-cd050e5af2e6,765,470,1538,32128
8e751148-6069-44af-8686-ea59fea71d52,1284,486,928,90740
900e458a-2cd2-43eb-ad92-2d16fcfccfe5,134,43,4,12195
903fe3f2-dca0-43ed-bc60-8e65c56b329e,7,3,0,826
9040b0ad-da2f-42e0-98eb-cfc849962364,40,13,0,6261
90a6a6be-5f46-4c84-a1ae-095f3b989027,3005,892,2622,55938
912760e5-6b4f-403d-8b67-58c9580f12f8,725,429,190,65828
9265c115-e3ce-4d23-9137-16ce080f1e84,287,89,38,25027
92a284d6-ef6d-4520-b8a0-b1ff4a1f3734,1159,360,33,71627
92d60c4d-faa6-4cb8-942d-8d472200f5a2,57,24,1,2146
932184f9-1f3f-499f-a761-40b69ea344e8,559,40,76,12730
942f43b0-c769-4d7a-8bcd-8a5deab9ad3f,7,5,13,1777
95905a04-9947-4488-84b7-147a93978f93,261,10,46,12724
9626b2f1-4a36-4e42-8b69-bd79b164a108,50,34,126,4863
9686705d-d716-419f-905b-65ea0fa0bf6d,189,37,19,9441
970cde6c-3067-48d3-9361-62f96be01b04,19,10,4,3131
9802f832-8c37-4728-8a7a-021b9d68ced7,150,13,61,7993
9847241f-6fed-4c05-a833-d7a25f445120,1019,99,528,26591
98d44083-2589-463a-a6a8-d22c764fb47c,17,11,1,4430
98eaca14-7d8a-4ba0-9bfa-a9fb2f9a00bd,10,7,446,1962
9b0219e2-4c54-431b-9454-4977e0204175,259,113,9,34361
9b387af7-6296-48d9-8e54-445518524513,31,15,0,7463
9b9b85e0-e64b-4fcc-af18-6b3549897d58,95,70,235,16350
9c848ec5-ea5c-4aa3-9595-8446e835355c,1154,341,226,44947
9d614ac2-16e1-4ff6-b7a9-8908a912a799,1445,73,77,52768
9d6d14c9-34c0-4203-a561-430e0af4e2c6,130,105,393,9330
9d9cfe74-2643-41b4-b401-2bd71cffafc7,31,9,0,2121
9e07ed27-718d-4166-a8b5-91fc513a8251,70,31,53,7363
9e7bc9a3-b49b-4661-992f-79548bd1b953,20,6,3,3763
9e8d07aa-3b41-4765-bd92-ba01a921b683,25,7,1,908
9f9b232d-1e24-48a7-834c-4d002c4aea60,26,9,4,3063
a0a516f0-11a3-40bf-bad2-a371b9dfc00d,22,14,36,1965
a11f302b-d37a-4844-8140-2b79488670c4,1750,386,1834,64643
a3237f9d-5005-42c0-b167-2a903438aff3,25,6,1,4759
a48b3ce5-df07-4d6e-b092-b68c023f789a,18,15,2,4170
a53d4cae-26ca-4790-a323-f4b53d41c411,232,104,12,19413
a58a15ed-c30b-4112-b07d-ebc6cdbca735,623,345,94,70019
a7c3c59d-ee90-4c44-8fb7-26f293cb6c8c,2540,356,171,118037
a81a054e-e399-43bf-8e64-9231294fe2fd,1883,456,2653,185693
a8f28c8c-a1d3-4175-9e35-a6a0e0c67d24,2698,734,111,228581
a97635ac-5cac-4bea-85cc-376d728fcb14,81,46,4,9766
aabc9005-7b69-483b-bb9d-34c00483bd3c,95,8,0,4626
ab2002f4-5f74-4709-afa1-30e4ced5a4cb,541,362,27,43023
abe7e9da-04ec-49a2-a4b8-472d8c6dd8c0,43,28,352,11667
ad1b170f-7790-4cad-b985-d144c30d36f8,1228,426,45,80321
aec4ee6d-2fe7-42cc-b106-dc8b811c0530,31,7,0,3561
af851c2d-50ca-465d-abe6-3153ee77c33e,19,13,1,3205
af88ad4f-7580-44fd-b3ee-948b2ed53beb,36,19,0,2477
afcc44e7-efa9-4451-a634-dbb1d516a883,760,221,84,40657
